id,title,author,genre,ISBN
109,Vision-oriented intermediate info-mediaries,Indonesia,Drama,086677937-X
110,Visionary didactic utilisation,Indonesia,(no genres listed),646218666-6
111,Operative human-resource functionalities,Greece,Action|Crime|Thriller,220769402-X
112,Adaptive real-time challenge,Russia,Comedy,319678151-8
113,Programmable systemic installation,Egypt,Comedy|Crime|Drama|Musical|Romance,797632218-4
114,Monitored optimal structure,Indonesia,Horror|Thriller,490414159-8
115,Fundamental web-enabled adapter,China,Comedy|Romance,617041257-7
116,Multi-channelled 3rd generation utilisation,France,Comedy,727276403-1
117,Profound multimedia neural-net,Honduras,Comedy|Drama|Romance,592148379-6
118,Total multi-tasking firmware,Indonesia,Comedy,838965469-5
119,Enhanced solution-oriented matrix,Russia,Horror,363394150-9
120,Organized mobile definition,Jamaica,Drama|Sci-Fi,413013574-0
121,Ergonomic hybrid solution,Madagascar,Drama,004855891-5
122,Ameliorated attitude-oriented attitude,China,Action|Crime|Thriller,063629990-2
123,Right-sized fresh-thinking product,France,Comedy|Drama|Musical|Romance,144031156-0
124,Adaptive human-resource customer loyalty,China,Horror,229173191-2
125,Cloned optimizing extranet,China,Action|Crime|Drama|IMAX,635904812-4
126,Organized analyzing time-frame,Colombia,Drama,749564060-X
127,Optimized well-modulated orchestration,Tanzania,Action|Sci-Fi,358167654-0
128,Cross-group real-time function,Ethiopia,Adventure|Children|Comedy|Drama|Fantasy,691171368-4
129,Centralized regional infrastructure,Russia,Western,800220912-5
130,Configurable scalable info-mediaries,Pakistan,Crime|Drama|Film-Noir|Thriller,088230502-6
131,Balanced local leverage,Portugal,Drama,356496791-5
132,Proactive multimedia emulation,Japan,Action|Fantasy,100082692-9
133,Multi-layered bandwidth-monitored array,Indonesia,Drama,718065752-2
134,Diverse actuating analyzer,France,Crime|Drama|Mystery|Thriller,778290443-9
135,Progressive real-time structure,Czech Republic,Drama|Romance,256959994-8
136,Synergized methodical utilisation,Pakistan,(no genres listed),821726845-2
137,Exclusive hybrid conglomeration,China,Action|Horror|Thriller,857252081-3
138,User-friendly impactful policy,China,Comedy,959679029-3
139,Seamless web-enabled algorithm,Indonesia,Horror,794577531-4
140,Operative reciprocal architecture,Indonesia,Adventure|Drama|Romance,871332797-6
141,Phased bandwidth-monitored matrices,Bulgaria,Thriller,984427038-3
142,Horizontal neutral functionalities,Poland,Action|Adventure|Thriller,881260533-8
143,Configurable radical application,Philippines,Comedy|Drama|Romance,966777128-8
144,De-engineered background projection,Indonesia,Drama,158691426-X
145,Balanced fresh-thinking implementation,Indonesia,Action|Adventure|Comedy|Horror,867270641-2
146,Versatile zero tolerance success,Greece,Comedy|Drama,697081954-X
147,Business-focused mobile groupware,Indonesia,Comedy,933838655-4
148,Fully-configurable non-volatile Graphical User Interface,Sweden,Western,858152358-7
149,Enhanced next generation matrices,Indonesia,Documentary,151783734-0
150,Versatile coherent toolset,South Korea,Comedy|Romance,404135982-1
151,Cross-platform empowering standardization,Argentina,Crime|Drama,956038374-4
152,Managed multimedia policy,China,Action|Comedy|Crime,921482822-9
153,Multi-tiered value-added access,Greece,Action|Adventure|Crime|Drama,028978655-X
154,Progressive maximized frame,Indonesia,Action|Animation|Children,671452977-5
155,Right-sized intangible application,Portugal,Drama,683879032-7
156,Realigned intermediate groupware,China,Animation|Comedy|Fantasy,893513332-9
157,Multi-layered zero tolerance extranet,Ukraine,Drama,126350682-8
158,De-engineered demand-driven core,Philippines,Drama,287780883-1
159,Synergistic bifurcated intranet,Thailand,Action|Crime|Drama|Sci-Fi|Thriller,719920441-8
160,Streamlined discrete secured line,Mongolia,Adventure|Animation|Children,457494823-X
161,Seamless local knowledge user,China,Crime|Drama,138620388-2
162,Reactive systematic groupware,Brazil,Horror|Sci-Fi|Thriller,947760663-4
163,Visionary zero defect productivity,Tanzania,Adventure|Children|Drama,497945938-2
164,De-engineered user-facing parallelism,Philippines,Documentary,346146577-1
165,Customer-focused homogeneous monitoring,Japan,Comedy|Thriller,816133010-7
166,User-centric bandwidth-monitored protocol,Nicaragua,Comedy|Sci-Fi,415243275-6
167,Profound interactive open architecture,China,Drama,496380705-X
168,Digitized 6th generation challenge,Indonesia,Comedy|Drama,267248474-0
169,Profit-focused upward-trending help-desk,Russia,Animation|Comedy|Fantasy,267934898-2
170,Persistent scalable matrix,Bahamas,Comedy|Drama|Romance,169699600-7
171,Configurable mobile middleware,Russia,Action|Drama,623140093-X
172,Optimized optimizing conglomeration,Albania,Drama,084693610-0
173,Profound system-worthy projection,Vietnam,Drama|Romance,140484471-6
174,Enhanced impactful hardware,Malaysia,Horror|Mystery|Thriller,702536851-2
175,Pre-emptive optimizing circuit,Pakistan,Comedy|Drama,559580264-2
176,Phased real-time middleware,China,Action|Adventure|Drama,654026580-8
177,Quality-focused impactful internet solution,Brazil,Drama,945928661-5
178,Customer-focused mission-critical middleware,Philippines,Action|Animation|Comedy|Horror|Thriller,932062103-9
179,User-friendly web-enabled circuit,Portugal,Adventure|Sci-Fi,124822077-3
180,Secured asynchronous alliance,Sweden,Drama|Romance|War,891149908-0
181,Advanced value-added methodology,China,Horror,150409684-3
182,Customizable needs-based local area network,Indonesia,Comedy|Fantasy|Romance,230371805-8
183,Ameliorated incremental utilisation,Ukraine,Comedy|Romance,083313589-9
184,Vision-oriented global workforce,South Africa,Comedy|Romance,886662663-5
185,Persistent user-facing emulation,China,Action|Comedy,064743087-8
186,Assimilated asynchronous encoding,United Kingdom,Drama,657756872-3
187,User-friendly multimedia productivity,China,Drama,717329710-9
188,Open-source non-volatile concept,Greece,Drama,160028482-5
189,Future-proofed analyzing workforce,Bulgaria,Drama|Romance,815790346-7
190,Networked even-keeled hub,Poland,Documentary,432323900-9
191,Seamless background forecast,Yemen,Documentary|Mystery,301790407-5
192,Reactive impactful frame,Colombia,Drama|Musical|Romance,185179337-2
193,User-centric clear-thinking system engine,Russia,Action|Adventure|Animation|Crime|Fantasy,433939571-4
194,Multi-lateral responsive focus group,China,Documentary,389201306-3
195,Centralized homogeneous intranet,Libya,Crime|Drama,911301936-8
196,Synchronised client-driven portal,China,Comedy|Romance,545937424-3
197,Balanced 24/7 methodology,Thailand,Comedy,899279506-8
198,Configurable impactful toolset,Brazil,Documentary,410305138-8
199,Realigned web-enabled installation,Russia,Musical,004870668-X
200,Re-contextualized fresh-thinking protocol,Russia,Comedy|Horror,033392381-2
201,Digitized intermediate task-force,Bulgaria,Comedy|Drama,274611731-2
202,Managed object-oriented instruction set,Macedonia,Drama,063392688-4
203,Integrated next generation architecture,Mexico,Drama,404937749-7
204,Centralized hybrid application,Greece,Drama,827434120-1
205,Ergonomic maximized system engine,Indonesia,Comedy|Musical|Romance,373519671-3
206,Up-sized stable success,Philippines,Comedy|Documentary,586844637-2
207,Digitized national flexibility,Indonesia,Drama|Film-Noir,743122699-3
208,Configurable optimizing firmware,Poland,Comedy|Drama|Romance,560660321-7
209,Balanced modular superstructure,South Africa,Drama,636944215-1
210,Multi-tiered zero administration frame,Indonesia,Documentary,561659281-1
211,Assimilated attitude-oriented functionalities,Russia,Drama,509745368-9
212,Front-line intangible complexity,China,Action|Comedy|Fantasy|Horror,954804170-7
213,Profit-focused static moderator,Mayotte,Comedy|Drama|Romance,195970856-2
214,Universal mission-critical algorithm,Greece,Documentary,530440170-0
215,Realigned multimedia portal,Brazil,Comedy,209355858-0
216,Fully-configurable value-added throughput,China,Documentary,623964987-2
217,Virtual bottom-line encoding,Philippines,Documentary,173886170-8
218,Front-line stable strategy,Philippines,Comedy|Drama,749917489-1
219,Visionary methodical website,Russia,Comedy|Drama,130535175-4
220,Synchronised radical utilisation,Poland,Drama,578695712-8
221,Versatile optimal model,Iran,Animation,802574217-2
222,Integrated actuating architecture,Ukraine,Comedy,009282774-8
223,Stand-alone analyzing strategy,Ukraine,Action|Thriller,322791696-7
224,Switchable modular initiative,Bolivia,Horror|Thriller,038368434-X
225,User-centric intermediate help-desk,Brazil,Western,799253283-X
226,Multi-channelled incremental strategy,Jamaica,Comedy|Drama|Romance,778738064-0
227,Virtual bottom-line monitoring,Azerbaijan,Sci-Fi,142222438-4
228,Vision-oriented zero tolerance pricing structure,China,Documentary,583160827-1
229,Automated mission-critical open architecture,Angola,Comedy|Horror,565306015-1
230,Down-sized client-driven emulation,Philippines,Action|Comedy|Fantasy,792852753-7
231,Virtual logistical benchmark,Poland,Crime|Drama|Mystery|Thriller,782760068-9
232,Exclusive multi-tasking encoding,China,Comedy|Drama|Romance,205915647-5
233,Optional encompassing customer loyalty,Japan,Comedy,279794452-6
234,Exclusive national project,Philippines,Action|Crime|Western,010959991-8
235,Down-sized needs-based collaboration,Poland,(no genres listed),632564525-1
236,Integrated 5th generation protocol,Philippines,Drama,646221634-4
237,Robust multi-state parallelism,Honduras,Crime|Documentary,811653036-4
238,Re-contextualized executive customer loyalty,Sweden,Drama|Romance,898595615-9
239,Object-based multi-state internet solution,Bulgaria,Drama|Horror|Sci-Fi,932680959-5
240,Networked object-oriented matrix,Mexico,Crime|Drama|Thriller,288865349-4
241,Grass-roots bifurcated service-desk,Finland,Drama,868898641-X
242,Diverse fault-tolerant projection,Madagascar,War,125869015-2
243,Re-engineered modular functionalities,Argentina,Comedy,467205462-4
244,Phased real-time benchmark,Chile,Action|Drama|Thriller,131269411-4
245,Customizable 6th generation middleware,Indonesia,Action|Adventure|Sci-Fi|Thriller|IMAX,110358001-9
246,Upgradable methodical toolset,Uzbekistan,Children|Comedy,137359016-5
247,Sharable scalable collaboration,Indonesia,Action|Sci-Fi,455834421-X
248,Ergonomic maximized capacity,Russia,Comedy|Drama,839839312-2
249,Open-architected zero defect focus group,Madagascar,Animation|Documentary,996928748-6
250,Re-engineered multi-state core,United Arab Emirates,Horror|Sci-Fi|Thriller,150258589-8
251,Assimilated 24/7 implementation,Philippines,Drama|Romance,712610064-7
252,Quality-focused asymmetric software,Botswana,Drama,025322563-9
253,Total foreground definition,Japan,Animation|Drama|Fantasy,043770895-0
254,Monitored 6th generation standardization,United States,Drama,404435931-8
255,Persevering foreground matrix,Philippines,Comedy|Drama,835042911-9
256,Decentralized background hardware,Mauritius,Documentary,588218217-4
257,Horizontal actuating open system,Russia,Drama,226652081-4
258,Profit-focused local service-desk,Poland,Drama|Romance,029355077-8
259,Focused asymmetric leverage,China,Action|Western,535366242-3
260,Cross-platform motivating task-force,Russia,Comedy|Drama,011545299-0
261,Advanced tangible synergy,Canada,Drama,154815242-0
262,Enhanced transitional portal,Portugal,Drama,331180779-0
263,Fundamental value-added local area network,Thailand,Drama,409014472-8
264,Secured multi-state algorithm,Kenya,Documentary|Musical|IMAX,773297057-8
265,Front-line non-volatile productivity,Ukraine,Comedy,283597042-8
266,Visionary content-based capacity,Japan,Animation|Drama,696971375-X
267,Ameliorated multi-tasking framework,Norway,Animation|Children|Comedy,475605113-8
268,Quality-focused analyzing benchmark,China,Comedy|Romance,325848762-6
269,Ameliorated multimedia collaboration,China,Comedy|Drama|Romance,991701451-9
270,Focused global conglomeration,Indonesia,Horror|Thriller,078862194-7
271,Expanded user-facing access,Nepal,Comedy|Drama,012770426-4
272,Ergonomic value-added moderator,Portugal,Drama|Romance,651345811-0
273,Enterprise-wide leading edge implementation,China,Horror,467912777-5
274,Open-architected mobile software,China,Drama,229300258-6
275,Centralized real-time moderator,Russia,Drama,917831760-6
276,Virtual explicit throughput,China,Drama,558703350-3
277,Automated analyzing architecture,Philippines,Comedy,586252245-X
278,Open-architected logistical throughput,Greece,Adventure|Animation|Children,263840732-1
279,Intuitive full-range support,Syria,Comedy|Musical|Mystery|Thriller,601661626-5
280,Universal mission-critical capacity,Ukraine,Drama,745719992-6
281,Seamless holistic customer loyalty,Tanzania,Drama,803464607-5
282,Universal dedicated application,Mongolia,Children|Drama,487311274-5
283,Configurable coherent function,Indonesia,Comedy|Crime|Drama,562344896-8
284,Mandatory regional system engine,Indonesia,Comedy,844487164-8
285,Decentralized solution-oriented help-desk,China,Comedy|Drama|Romance,041289334-7
286,Decentralized discrete software,China,Comedy|Romance,220454746-8
287,Monitored uniform alliance,Peru,Documentary|Sci-Fi,302925637-5
288,Cross-platform heuristic secured line,Japan,Documentary,030938371-4
289,Public-key eco-centric moderator,South Africa,Action|Sci-Fi|IMAX,433269929-7
290,Up-sized impactful groupware,China,Adventure|Documentary,352183334-8
291,Public-key systemic workforce,China,Comedy|Romance,356788710-6
292,Inverse disintermediate ability,Belarus,Comedy|Drama|Romance,338319432-9
293,Diverse homogeneous benchmark,Philippines,Animation|Children|Comedy|Musical,691292265-1
294,Automated methodical matrix,Russia,Crime|Horror|Mystery|Thriller,366588641-4
295,Down-sized coherent projection,Ivory Coast,Documentary,802922470-2
296,Open-architected background complexity,Indonesia,Crime|Drama|Thriller,575812332-3
297,Mandatory client-driven standardization,Philippines,Drama,610353077-6
298,Re-contextualized actuating initiative,China,Comedy|Drama|Romance,392247828-X
299,Right-sized multi-tasking Graphic Interface,Cameroon,Action|Adventure|Sci-Fi,796262732-8
300,Innovative object-oriented flexibility,China,Documentary,567570968-1
301,Advanced radical orchestration,China,Documentary,424804778-0
302,Multi-lateral needs-based process improvement,Kenya,Comedy|Drama|Romance,710560419-0
303,Customizable 24 hour hub,China,Crime|Drama|Musical,154606862-7
304,Front-line tertiary project,United States,Drama,553916332-X
305,Cross-platform upward-trending website,France,Action|Drama,268911065-2
306,Programmable foreground array,China,Action|Adventure|Comedy|Crime|Thriller,955943214-1
307,Customer-focused systematic software,China,Drama,109029282-1
308,Optimized multi-tasking knowledge user,Vietnam,Comedy|Drama|Musical|Romance,669453880-4
309,Function-based regional website,Vietnam,Drama,433486630-1
310,Grass-roots 24 hour archive,Argentina,Action|Romance,560092145-4
311,Advanced discrete emulation,Indonesia,Action,708340311-2
312,Stand-alone full-range analyzer,South Korea,(no genres listed),222423055-9
313,Reverse-engineered 4th generation orchestration,Thailand,Documentary,248641547-5
314,Devolved 3rd generation customer loyalty,Greece,Comedy|Drama,619082248-7
315,Synergistic eco-centric process improvement,Afghanistan,Drama,667397077-4
316,Seamless intangible local area network,Sweden,Action|Crime|Thriller,988311210-6
317,Stand-alone responsive projection,Thailand,Comedy|Drama|Romance,336116486-9
318,Enterprise-wide radical utilisation,Canada,Comedy|Sci-Fi,256957225-X
319,Customizable explicit moratorium,Armenia,Comedy,549490137-8
320,Quality-focused upward-trending infrastructure,Ukraine,Crime|Drama|Thriller,643735824-6
321,Self-enabling didactic artificial intelligence,France,Drama|Romance,766352324-5
322,Open-source 4th generation definition,China,Drama|Romance,050957070-4
323,Organized mobile productivity,France,Drama|War,920686020-8
324,Organic transitional contingency,China,Crime|Drama|Film-Noir,606137147-0
325,Optimized exuding process improvement,Albania,Comedy,448023848-4
326,Stand-alone demand-driven strategy,China,Drama|War,808828472-4
327,Universal user-facing migration,Poland,Drama,405429327-1
328,Triple-buffered bi-directional strategy,Indonesia,Drama|Romance,926192694-0
329,User-centric fresh-thinking monitoring,China,Adventure|Comedy|Thriller,829155520-6
330,Switchable interactive framework,France,Drama|War,345200994-7
331,Reactive tertiary installation,China,Drama|Horror,661220276-9
332,Customizable mission-critical hardware,Thailand,Crime|Drama|Film-Noir,006258709-9
333,Re-contextualized optimal Graphic Interface,Philippines,Comedy|Drama,063704669-2
334,Horizontal modular frame,Indonesia,Documentary,531908400-5
335,Phased analyzing superstructure,Ireland,Action|Adventure|Animation|Children,088774695-0
336,De-engineered optimal function,Poland,Drama,334712800-1
337,Cross-group 24/7 budgetary management,Russia,Documentary,421196847-5
338,Realigned mission-critical portal,Croatia,Comedy|Drama,062624633-4
339,Expanded discrete definition,Japan,Drama|Musical|Romance,009828339-1
340,Public-key logistical moderator,China,Drama|Romance|Western,170017029-5
341,Reverse-engineered systemic frame,Indonesia,Comedy|Horror|Sci-Fi,898304538-8
342,Operative 4th generation initiative,United States,Fantasy|Horror,397248555-7
343,Customer-focused systemic policy,Czech Republic,Comedy,069849090-8
344,Reactive 6th generation superstructure,Kenya,Action|Adventure|Animation|Children|Fantasy,934964996-9
345,User-centric tangible policy,France,Drama,121299061-7
346,Versatile tangible focus group,Israel,Comedy|Drama,481701245-5
347,Enterprise-wide full-range concept,Poland,Drama,409278549-6
348,Future-proofed next generation productivity,Ireland,Action|Crime|Thriller,655636188-7
349,Advanced regional model,Malaysia,Drama|Romance,752501360-8
350,Managed fresh-thinking policy,Sweden,Documentary|Musical,025077378-3
351,Enterprise-wide context-sensitive analyzer,United States,Crime|Drama|Thriller,836858891-X
352,Distributed radical conglomeration,China,Drama|Horror|Mystery,937166143-7
353,Upgradable responsive array,Philippines,Action|Thriller,377623588-8
354,Integrated systemic matrices,Mexico,Drama,931973224-8
355,Persevering neutral synergy,China,Horror|Mystery|Thriller,528887082-9
356,Progressive multimedia portal,Brazil,Comedy|Fantasy,443974800-7
357,Operative empowering initiative,United States,Adventure|Drama|Romance,096553782-X
358,Open-source interactive collaboration,Japan,Comedy,531680001-X
359,Streamlined background focus group,Bulgaria,Thriller,072594481-1
360,Re-contextualized human-resource capacity,Portugal,Adventure|Drama|Horror,020497045-8
361,De-engineered radical monitoring,Sweden,Crime|Drama,437379578-9
362,Switchable client-driven interface,Bahamas,Comedy|Drama|War,881554047-4
363,Implemented regional info-mediaries,Poland,Comedy|Drama,914093091-2
364,Right-sized mission-critical collaboration,Sweden,Drama,485757621-X
365,Diverse real-time paradigm,Japan,Horror|Sci-Fi,931112555-5
366,Balanced zero administration definition,South Korea,Drama|Thriller,265846631-5
367,Decentralized zero defect time-frame,Indonesia,Drama,080948576-1
368,Monitored motivating process improvement,China,Western,120450819-4
369,Automated eco-centric utilisation,Mexico,Drama|Thriller,026512941-9
370,Configurable asymmetric hardware,Peru,Drama|Fantasy|Romance,584767970-X
371,Devolved stable firmware,Russia,Comedy|Drama,889793636-9
372,User-friendly modular support,Sweden,Drama|Horror,120870389-7
373,Persevering fault-tolerant hub,China,Comedy|Crime|Horror|Mystery|Thriller,892928013-7
374,Cross-group clear-thinking hierarchy,United States,Drama,865356683-X
375,Face to face asymmetric project,Thailand,Crime|Drama|Film-Noir|Thriller,063687998-4
376,De-engineered solution-oriented budgetary management,Uganda,War,191675987-4
377,Managed incremental knowledge user,Peru,Western,713457783-X
378,Front-line didactic analyzer,China,Comedy,780874310-0
379,Digitized composite function,Japan,Drama|Romance,475399716-2
380,Front-line local info-mediaries,Russia,Drama|Romance,724071173-0
381,Optimized foreground conglomeration,China,Comedy|Crime|Mystery,692061591-6
382,Synergized asymmetric synergy,Portugal,Action|Drama,186092758-0
383,Cloned incremental moratorium,China,Horror|Thriller,711871133-0
384,Re-contextualized human-resource archive,Sweden,Action|Adventure|Crime|Thriller,705230442-2
385,Function-based 24 hour emulation,France,Drama|Horror|Sci-Fi,001299525-8
386,Virtual 4th generation open system,Philippines,Children,945831418-6
387,User-centric full-range parallelism,Spain,Comedy|Romance,350820013-2
388,Object-based logistical workforce,Indonesia,Thriller,778061576-6
389,Open-source solution-oriented flexibility,Indonesia,Comedy,730442710-8
390,Switchable bifurcated secured line,Indonesia,Drama|War,946689827-2
391,Re-engineered client-server emulation,Yemen,Comedy,190906821-7
392,Multi-tiered incremental project,China,Comedy|Drama|Romance,378116113-7
393,Upgradable background collaboration,Russia,Drama,716475326-1
394,Fundamental modular standardization,Czech Republic,Drama,193244596-X
395,Synchronised analyzing contingency,Peru,Documentary,377578988-X
396,Monitored multi-state model,Japan,Crime|Drama|Romance,911680182-2
397,Inverse reciprocal open system,China,Comedy|Romance,263927993-9
398,Enhanced even-keeled alliance,Colombia,Drama,188436608-2
399,Persevering real-time adapter,Egypt,Drama,995421618-9
400,Assimilated object-oriented utilisation,China,Drama|Western,552738441-5
401,Multi-channelled tertiary projection,China,Drama|War,823354713-1
402,Up-sized needs-based artificial intelligence,China,Action|Crime|Drama|Thriller,046732587-1
403,Advanced regional hierarchy,China,Drama|Romance,753164622-6
404,Open-architected demand-driven Graphic Interface,Sweden,Drama,193004758-4
405,Right-sized asymmetric software,Peru,Action|Drama|Mystery|Romance|Sci-Fi,618275247-5
406,Automated attitude-oriented analyzer,Tunisia,Adventure|Drama,252606816-9
407,Decentralized interactive function,Indonesia,Documentary,437028999-8
408,Multi-layered intangible budgetary management,Portugal,Comedy|Drama,149931592-9
409,Automated bandwidth-monitored data-warehouse,Argentina,Comedy,192745438-7
410,Focused asynchronous projection,Poland,Children|Comedy|Drama,153949724-0
411,Centralized multimedia architecture,South Africa,Drama|Thriller,838572335-8
